Ticker,RMSE
A,0.21574112616863306
AAPL,0.28565174238859836
ABBV,0.06947531721607657
ABNB,0.15288156676645534
ABT,0.14823210432090883
ACGL,0.13994489414058808
ACN,0.24527295790040649
ADBE,0.28407645292760697
ADI,0.19271879287614574
ADM,0.12889759835631023
ADP,0.13345303328984726
ADSK,0.26100692106506074
AEE,0.0760364843423586
AEP,0.09672837949562944
AES,0.22505554059733374
AFL,0.1557836686097551
AIG,0.23941428057765335
AIZ,0.13919802000824846
AJG,0.11060296838045636
AKAM,0.11700237752569072
ALB,0.44451304223898835
ALGN,0.5970822114404767
ALL,0.13309660963124725
ALLE,0.17730474435754598
AMAT,0.6312252956006896
AMCR,0.07316988788258696
AMD,0.35316319238416927
AME,0.13301386377532445
AMGN,0.12347537297360317
AMP,0.24191034842150466
AMT,0.12101501644683976
AMZN,0.39390567501394314
ANET,0.23731867485260377
ANSS,0.2223526284998601
AON,0.138573083268181
AOS,0.24791116699627777
APA,0.3687581005747264
APD,0.11295961804799914
APH,0.1404562300288023
APO,0.21478013182562244
APTV,0.4602668772241381
ARE,0.16518562255403416
ATO,0.10433418487321833
AVB,0.25326869951626585
AVGO,0.24695140179470654
AVY,0.29913808405823866
AWK,0.13508973534082064
AXON,0.411836806069224
AXP,0.315447893006854
AZO,0.12461665933720223
BA,0.24441240452549026
BAC,0.2705387172386167
BALL,0.1984333128659989
BAX,0.116541394596294
BBY,0.18341666197027343
BDX,0.036017234345327276
BEN,0.25662558095482396
BF-B,0.08482906536645608
BG,0.21637039183783588
BIIB,0.15631154498575686
BK,0.22803775259330214
BKNG,0.22904399062675623
BKR,0.23025860826614458
BLDR,0.2898344773002629
BLK,0.2409948197811529
BMY,0.1078026486436047
BR,0.18427689954834012
BRK-B,0.14294458240542635
BRO,0.17834849152845914
BSX,0.08868850770934891
BX,0.47427091043120906
BXP,0.2805492826947617
C,0.2045196025265122
CAG,0.11288337078920074
CAH,0.21253194821158483
CARR,0.2733786166144951
CAT,0.22674941797028655
CB,0.11227010710207141
CBOE,0.14908726130065464
CBRE,0.42408469934894255
CCI,0.12565640797653313
CCL,0.374164623867951
CDNS,0.25110485225343093
CDW,0.23099423574729092
CF,0.2801184352567412
CFG,0.2665701811857754
CHD,0.11584262452170449
CHRW,0.1017995451500613
CHTR,0.2405173163164376
CI,0.1710977134894994
CINF,0.23439074563148582
CL,0.06737628870933346
CLX,0.08456792729381214
CMCSA,0.22983477754961945
CME,0.14929407794279978
CMG,0.1944663637503721
CMI,0.15252563214548706
CMS,0.08436387298770301
CNC,0.09081570951275132
CNP,0.1131503760849018
COF,0.33980302088327313
COIN,0.1249304912760303
COO,0.1857417981993841
COP,0.2716421939523031
COR,0.06364756600461727
COST,0.16228128359357494
CPAY,0.10042906914602259
CPB,0.141020040637878
CPRT,0.22881629872827597
CPT,0.3009697708702477
CRL,0.3683995979701018
CRM,0.2136868989059467
CRWD,0.9017385636276052
CSCO,0.18303250003884733
CSGP,0.13015564851706835
CSX,0.1482242002067683
CTAS,0.09636762615846965
CTRA,0.28627303077543786
CTSH,0.1503782197244982
CTVA,0.10723122293356696
CVS,0.15727684826500904
CVX,0.13114070506847725
CZR,0.6920971820513995
D,0.09438715715044588
DAL,0.18137635063822408
DASH,0.17153733061670381
DAY,0.20633835167121073
DD,0.1915042054814639
DE,0.3286625191014594
DECK,0.41550203775392963
DELL,0.3012706328070296
DG,0.05744137575890774
DGX,0.10417099260590952
DHI,0.201558525474842
DHR,0.2398504402705906
DIS,0.2563564763529808
DLR,0.15718475278704674
DLTR,0.15210427649666558
DOC,0.12020340348670065
DOV,0.2798181298228046
DOW,0.1665845181455947
DPZ,0.21225257785422294
DRI,0.19967336934012972
DTE,0.0898693724189385
DUK,0.09192382339418052
DVA,0.2577904799766363
DVN,0.5584787799494115
DXCM,0.2742226930973027
EA,0.132518868357118
EBAY,0.31490860899307327
ECL,0.1468974294236352
ED,0.10273300862408205
EFX,0.2996507446596816
EG,0.10524855511509457
EIX,0.10525957697868278
EL,0.3313573473799399
ELV,0.11072003412869479
EMN,0.3210324940875718
EMR,0.19674371108936356
ENPH,0.666568415075336
EOG,0.3252282558679671
EPAM,0.5373285407017839
EQIX,0.12277768451621147
EQR,0.25785797613377587
EQT,0.37945914170773415
ERIE,0.18621886781663485
ES,0.059701135274245205
ESS,0.2662101712485091
ETN,0.20649231305698243
ETR,0.09894211263500495
EVRG,0.10570069308241484
EW,0.24450524736801002
EXC,0.14749188450457337
EXE,0.15477439375224294
EXPD,0.2981361061695917
EXPE,0.5036778766329426
EXR,0.32988925770329786
F,0.5107759492406457
FANG,0.6269146470870204
FAST,0.1342983568318556
FCX,1.181813752202338
FDS,0.10708692134489128
FDX,0.3356289660227927
FE,0.15446172432237246
FFIV,0.21324132318681593
FI,0.06923908491784182
FICO,0.19001743126398202
FIS,0.1624739576073737
FITB,0.27299777288248356
FOX,0.10428400434263012
FOXA,0.13437761892294123
FRT,0.21796600434270938
FSLR,0.31693185639076055
FTNT,0.5483340180911981
FTV,0.10292648704889668
GD,0.10257281443059502
GDDY,0.08696382428363766
GE,0.24665817272808715
GEN,0.13988157897225845
GILD,0.11154770595115239
GIS,0.12734055836248645
GL,0.08760413274685956
GLW,0.1450270390506704
GM,0.5194329327260369
GNRC,0.887648302094242
GOOG,0.36486761752344593
GOOGL,0.3921557679144403
GPC,0.11919253080921996
GPN,0.14196911091489064
GRMN,0.33270921655852864
GS,0.3499631932750921
GWW,0.07474817713460623
HAL,0.27509642086682334
HAS,0.14430207152367444
HBAN,0.22837576489120529
HCA,0.24192072446156732
HD,0.18952455059023418
HES,0.24843874978888722
HIG,0.2114575463802531
HII,0.1396997519490524
HLT,0.22235693907603038
HOLX,0.11050175963436364
HON,0.13734136513875178
HPE,0.18290736069925437
HPQ,0.2018937538223419
HRL,0.07428981768557838
HSIC,0.09303186359892658
HST,0.14909255958883672
HSY,0.08005685470423174
HUBB,0.12931436312910682
HUM,0.08253428474701714
HWM,0.2107221128717591
IBM,0.08533828524050581
ICE,0.1467762093682236
IDXX,0.4129451131104889
IEX,0.16524503295083878
IFF,0.17473819748786631
INCY,0.13095035177670145
INTC,0.15125878733396037
INTU,0.29946257820853167
INVH,0.18299371200565132
IP,0.18711630846955396
IPG,0.3621145631500895
IQV,0.24697563418133306
IR,0.19221315117336757
IRM,0.24112389062580947
ISRG,0.2606968022735633
IT,0.4771187976693435
ITW,0.11252829192788275
IVZ,0.42571938003831794
J,0.1896041974168456
JBHT,0.15384339872729075
JBL,0.2157269817688457
JCI,0.33261221110322853
JKHY,0.07637354692982747
JNJ,0.0572890581610023
JNPR,0.15421287553170848
JPM,0.24095513959780576
K,0.08104542887244937
KDP,0.07534986541215219
KEY,0.24834603892122095
KEYS,0.23441961634896502
KHC,0.10876691822031301
KIM,0.29576514660969105
KKR,0.38775639370702114
KLAC,0.31455158455976634
KMB,0.05333317534316246
KMI,0.12018179795143226
KMX,0.3348621886209316
KO,0.08444182665056213
KR,0.1199668123494057
L,0.15025416673314776
LDOS,0.07596050564637528
LEN,0.2585495116695823
LH,0.18963282620384592
LHX,0.12270600825384993
LII,0.23887636911505
LIN,0.13271014639034687
LKQ,0.16944668264299148
LLY,0.13355112118934043
LMT,0.14081745550756558
LNT,0.11056470721362383
LOW,0.20133492907419384
LRCX,0.5153524640523167
LULU,0.16560526194954944
LUV,0.2789373324380783
LVS,0.1084595014566424
LW,0.22156192844957065
LYB,0.23338720687526388
LYV,0.33989926121497593
MA,0.10180499257271833
MAA,0.288471280568519
MAR,0.19279575834761456
MAS,0.1467589304770682
MCD,0.05577522120526097
MCHP,0.2425644466366158
MCK,0.13232869920422013
MCO,0.21814121730617028
MDLZ,0.08828002100381722
MDT,0.17272026330713117
MET,0.13251056678440146
META,0.34666238889176065
MGM,0.45835134529033994
MHK,0.39553970961051016
MKC,0.07569262278779391
MKTX,0.21926237987369232
MLM,0.21380217013581762
MMC,0.14480965894611164
MMM,0.12808237618659246
MNST,0.11469951434941324
MO,0.09988887554559243
MOH,0.11842536060085833
MOS,0.3137137079429844
MPC,0.2340918149348212
MPWR,0.37347642107809476
MRK,0.12564920422098846
MRNA,1.907043762941496
MS,0.4069945652869097
MSCI,0.2894580413553175
MSFT,0.21478509714456526
MSI,0.19375269108830756
MTB,0.16464722204335128
MTCH,0.4649303550867497
MTD,0.2242670180516676
MU,0.3459847790795116
NCLH,0.32362373956553603
NDAQ,0.24425293923517602
NDSN,0.10872049740675842
NEE,0.1022443587635878
NEM,0.14956312477409966
NFLX,0.25909859241280403
NI,0.10333760380365056
NKE,0.2612465475826359
NOC,0.11914053556795408
NOW,0.27884201475937564
NRG,0.12382709906077315
NSC,0.12408048566725577
NTAP,0.23953449718833386
NTRS,0.16223451759128504
NUE,0.43465717526157094
NVDA,0.6266177020038762
NVR,0.13755770340585186
NWS,0.2974443212038634
NWSA,0.3869239873249334
NXPI,0.3633138605948799
O,0.12063209142188826
ODFL,0.22491172140110896
OKE,0.2559339444240956
OMC,0.12528252005256338
ON,0.29193333527710047
ORCL,0.2857820222000038
ORLY,0.07830646929075531
OTIS,0.16819017117504517
OXY,0.47732846770813214
PANW,0.29539453751600414
PARA,0.4670176192237336
PAYC,0.22755475201480954
PAYX,0.18254660298922984
PCAR,0.1421624881969808
PCG,0.10429916392951018
PEG,0.08133747019969517
PEP,0.06348693091645896
PFE,0.14265618073037165
PFG,0.16604983188978814
PG,0.08191927669535883
PGR,0.10586042923376292
PH,0.23338404087720652
PHM,0.14679345565172905
PKG,0.10815759672702363
PLD,0.20173929874977373
PLTR,0.5072715369095314
PM,0.11543075430709655
PNC,0.24123575415420717
PNR,0.35948895420841287
PNW,0.12584964564559725
PODD,0.15682725632558747
POOL,0.3430453413905955
PPG,0.20801661281025985
PPL,0.0732651659649926
PRU,0.2288519965507308
PSA,0.1977412416263857
PSX,0.17068370075128314
PTC,0.2693483486573549
PWR,0.3365919322662304
PYPL,0.5422871866492287
QCOM,0.29761891221484404
RCL,0.3298026351415673
REG,0.27057096123205643
REGN,0.10241364286219096
RF,0.22185097455585542
RJF,0.25263357478434234
RL,0.2762066930980966
RMD,0.19828768526764617
ROK,0.21347566283394406
ROL,0.15595153546833593
ROP,0.07946295546073819
ROST,0.14085458338777396
RSG,0.12068039986336641
RTX,0.13267832318056047
RVTY,0.24594330401799974
SBAC,0.13363275443900474
SBUX,0.22077587085759953
SCHW,0.3680021094774325
SHW,0.2147273222327713
SJM,0.07510007289110968
SLB,0.212264945117103
SMCI,0.2295650408307679
SNA,0.17278927687036572
SNPS,0.2079943829614197
SO,0.07340895433971249
SPG,0.3949013034494899
SPGI,0.1818464746484919
SRE,0.11791996107243176
STE,0.16085290806135394
STLD,0.30202437168289636
STT,0.23839692909524718
STX,0.4343376605333505
STZ,0.09880046217178565
SWK,0.26376443374866
SWKS,0.3042369243352002
SYF,0.3555063034031363
SYK,0.15461082462981493
SYY,0.1443688046743001
T,0.07625629317570712
TAP,0.1300528100901916
TDG,0.11510877040762454
TDY,0.150361920681506
TECH,0.44777747816740066
TEL,0.22987201304181615
TER,0.4094387104174373
TFC,0.18137460653137055
TGT,0.41668612971777796
TJX,0.10883130517222797
TKO,0.15453048008451162
TMO,0.17608642016194198
TMUS,0.13760450961439138
TPL,0.6219363704542256
TPR,0.5534965318662717
TRGP,0.5264065828390273
TRMB,0.3697180213607692
TROW,0.34221727785421535
TRV,0.1215098439108493
TSCO,0.20873415901571465
TSLA,0.49526310180903016
TSN,0.1938339350071158
TT,0.2514374723412636
TTWO,0.2075269323753513
TXN,0.24412626255351605
TXT,0.3102321068346698
TYL,0.23374453724186814
UAL,0.25367373689815476
UBER,0.33793527636830256
UDR,0.2172886325589108
UHS,0.14289614304848663
ULTA,0.18279902373141987
UNH,0.09706366592103463
UNP,0.10479339675088319
UPS,0.28633727614998916
URI,0.3134550197567976
USB,0.1986790838094627
V,0.11815516134446626
VICI,0.1372699927281517
VLO,0.2192997596273264
VMC,0.19647448332755635
VRSK,0.1164472092213993
VRSN,0.09318033659946785
VRTX,0.20329074226881494
VST,0.14707461488376142
VTR,0.12941554316313597
VTRS,0.06728460492723831
VZ,0.0740571032765436
WAB,0.10464634113933463
WAT,0.21419326143508174
WBA,0.16390911584296894
WBD,0.3526356339063491
WDAY,0.21332984800423252
WDC,0.2773873475815375
WEC,0.07314621772190648
WELL,0.24147535615326562
WFC,0.3102143481043456
WM,0.14305402226011468
WMB,0.09801001059044444
WMT,0.08267658863930184
WRB,0.11376775616559366
WSM,0.5597490358817657
WST,0.3461077623632162
WTW,0.13007725286396837
WY,0.12222439166713026
WYNN,0.180066107208216
XEL,0.07419577402654753
XOM,0.1987157732723137
XYL,0.20606635703514675
YUM,0.11728193712763828
ZBH,0.1337570361171883
ZBRA,0.46232783546472744
ZTS,0.1903190224434311
